"week"	"investor_type_frmted"	"cumsum"	"date_start"
1	"Marketing"	1	2009-01-01
2	"Marketing"	6	2009-01-08
3	"Marketing"	9	2009-01-15
4	"Marketing"	13	2009-01-22
5	"Marketing"	15	2009-01-29
6	"Marketing"	18	2009-02-05
7	"Marketing"	21	2009-02-12
8	"Marketing"	24	2009-02-19
9	"Marketing"	26	2009-02-26
10	"Marketing"	28	2009-03-05
11	"Marketing"	31	2009-03-12
12	"Marketing"	34	2009-03-19
13	"Marketing"	37	2009-03-26
13	"Partner: Referral Partners"	5	2009-03-26
14	"Marketing"	40	2009-04-02
14	"Partner: Referral Partners"	10	2009-04-02
15	"Marketing"	43	2009-04-09
15	"Partner: Referral Partners"	15	2009-04-09
16	"Marketing"	45	2009-04-16
16	"Partner: Referral Partners"	20	2009-04-16
17	"Marketing"	48	2009-04-23
17	"Partner: Referral Partners"	25	2009-04-23
18	"Marketing"	50	2009-04-30
18	"Partner: Referral Partners"	30	2009-04-30
19	"Marketing"	52	2009-05-07
19	"Partner: Referral Partners"	35	2009-05-07
20	"Marketing"	55	2009-05-14
20	"Partner: Referral Partners"	40	2009-05-14
21	"Marketing"	57	2009-05-21
21	"Partner: Referral Partners"	45	2009-05-21
22	"Marketing"	61	2009-05-28
22	"Partner: Referral Partners"	50	2009-05-28
23	"Marketing"	64	2009-06-04
23	"Partner: Referral Partners"	55	2009-06-04
24	"Marketing"	66	2009-06-11
24	"Partner: Referral Partners"	60	2009-06-11
25	"Marketing"	68	2009-06-18
25	"Partner: Referral Partners"	65	2009-06-18
26	"Marketing"	71	2009-06-25
26	"Partner: Referral Partners"	70	2009-06-25
27	"Marketing"	73	2009-07-02
27	"Partner: Referral Partners"	75	2009-07-02
28	"Marketing"	75	2009-07-09
28	"Partner: Referral Partners"	80	2009-07-09
29	"Marketing"	76	2009-07-16
29	"Partner: Referral Partners"	85	2009-07-16
30	"Marketing"	77	2009-07-23
30	"Partner: Referral Partners"	90	2009-07-23
31	"Marketing"	80	2009-07-30
31	"Partner: Referral Partners"	95	2009-07-30
32	"Marketing"	81	2009-08-06
32	"Partner: Referral Partners"	100	2009-08-06
33	"Marketing"	83	2009-08-13
33	"Partner: Referral Partners"	105	2009-08-13
34	"Marketing"	85	2009-08-20
34	"Partner: Referral Partners"	110	2009-08-20
35	"Marketing"	86	2009-08-27
35	"Partner: Referral Partners"	115	2009-08-27
36	"Marketing"	88	2009-09-03
36	"Partner: Referral Partners"	120	2009-09-03
37	"Marketing"	90	2009-09-10
37	"Partner: Referral Partners"	125	2009-09-10
38	"Marketing"	91	2009-09-17
38	"Partner: Referral Partners"	130	2009-09-17
39	"Marketing"	93	2009-09-24
39	"Partner: Referral Partners"	135	2009-09-24
40	"Marketing"	95	2009-10-01
40	"Partner: Referral Partners"	140	2009-10-01
41	"Marketing"	97	2009-10-08
