"week"	"quarter"	"stage"	"source"	"count"	"investor_type_frmted"
1	1	"seed"	"marketing"	23	"Marketing"
2	1	"a"	"marketing"	1	"Marketing"
2	1	"b"	"marketing"	1	"Marketing"
2	1	"c"	"marketing"	1	"Marketing"
2	1	"d"	"marketing"	1	"Marketing"
2	1	"seed"	"marketing"	20	"Marketing" 
3	1	"a"	"marketing"	1	"Marketing"
3	1	"b"	"marketing"	4	"Marketing"
3	1	"seed"	"marketing"	20	"Marketing"
4	1	"a"	"marketing"	2	"Marketing"
4	1	"b"	"marketing"	1	"Marketing"
4	1	"c"	"marketing"	1	"Marketing"
4	1	"seed"	"marketing"	25	"Marketing"
5	1	"a"	"marketing"	3	"Marketing"
5	1	"seed"	"marketing"	23	"Marketing"
6	1	"a"	"marketing"	4	"Marketing"
6	1	"b"	"marketing"	2	"Marketing"
6	1	"seed"	"marketing"	18	"Marketing"
7	1	"a"	"marketing"	1	"Marketing"
7	1	"b"	"marketing"	2	"Marketing"
7	1	"seed"	"marketing"	22	"Marketing"
8	1	"a"	"marketing"	1	"Marketing"
8	1	"b"	"marketing"	1	"Marketing"
8	1	"seed"	"marketing"	19	"Marketing"
9	1	"a"	"marketing"	2	"Marketing"
9	1	"seed"	"marketing"	17	"Marketing"
10	1	"a"	"marketing"	3	"Marketing"
10	1	"seed"	"marketing"	17	"Marketing"
11	1	"a"	"marketing"	1	"Marketing"
11	1	"b"	"marketing"	1	"Marketing"
11	1	"seed"	"marketing"	20	"Marketing"
12	1	"a"	"marketing"	2	"Marketing"
12	1	"b"	"marketing"	2	"Marketing"
12	1	"seed"	"marketing"	15	"Marketing"
13	2	"a"	"marketing"	2	"Marketing"
13	2	"a"	"referral_partners"	2	"Partner: Referral Partners"
13	2	"b"	"marketing"	1	"Marketing"
13	2	"b"	"referral_partners"	5	"Partner: Referral Partners"
13	2	"c"	"referral_partners"	2	"Partner: Referral Partners"
13	2	"d"	"referral_partners"	2	"Partner: Referral Partners"
13	2	"seed"	"marketing"	22	"Marketing"
13	2	"seed"	"referral_partners"	1	"Partner: Referral Partners"
14	2	"a"	"marketing"	1	"Marketing"
14	2	"a"	"referral_partners"	17	"Partner: Referral Partners"
14	2	"b"	"marketing"	1	"Marketing"
14	2	"b"	"referral_partners"	23	"Partner: Referral Partners"
14	2	"c"	"referral_partners"	4	"Partner: Referral Partners"
14	2	"d"	"referral_partners"	3	"Partner: Referral Partners"
14	2	"seed"	"marketing"	13	"Marketing"
14	2	"seed"	"referral_partners"	10	"Partner: Referral Partners"
15	2	"a"	"marketing"	1	"Marketing"
15	2	"a"	"referral_partners"	12	"Partner: Referral Partners"
15	2	"b"	"referral_partners"	12	"Partner: Referral Partners"
15	2	"c"	"marketing"	1	"Marketing"
15	2	"c"	"referral_partners"	8	"Partner: Referral Partners"
15	2	"d"	"referral_partners"	9	"Partner: Referral Partners"
15	2	"seed"	"marketing"	24	"Marketing"
15	2	"seed"	"referral_partners"	19	"Partner: Referral Partners"
16	2	"a"	"referral_partners"	21	"Partner: Referral Partners"
16	2	"b"	"marketing"	1	"Marketing"
16	2	"b"	"referral_partners"	15	"Partner: Referral Partners"
16	2	"c"	"referral_partners"	6	"Partner: Referral Partners"
16	2	"d"	"referral_partners"	7	"Partner: Referral Partners"
16	2	"seed"	"marketing"	23	"Marketing"
16	2	"seed"	"referral_partners"	4	"Partner: Referral Partners"
17	2	"a"	"marketing"	2	"Marketing"
17	2	"a"	"referral_partners"	12	"Partner: Referral Partners"
17	2	"b"	"marketing"	1	"Marketing"
17	2	"b"	"referral_partners"	19	"Partner: Referral Partners"
17	2	"c"	"referral_partners"	8	"Partner: Referral Partners"
17	2	"d"	"referral_partners"	2	"Partner: Referral Partners"
17	2	"seed"	"marketing"	24	"Marketing"
17	2	"seed"	"referral_partners"	9	"Partner: Referral Partners"
18	2	"a"	"marketing"	3	"Marketing"
18	2	"a"	"referral_partners"	11	"Partner: Referral Partners"
18	2	"b"	"referral_partners"	17	"Partner: Referral Partners"
18	2	"c"	"referral_partners"	11	"Partner: Referral Partners"
18	2	"d"	"referral_partners"	5	"Partner: Referral Partners"
18	2	"seed"	"marketing"	25	"Marketing"
18	2	"seed"	"referral_partners"	8	"Partner: Referral Partners"
19	2	"a"	"marketing"	4	"Marketing"
19	2	"a"	"referral_partners"	15	"Partner: Referral Partners"
19	2	"b"	"referral_partners"	10	"Partner: Referral Partners"
19	2	"c"	"referral_partners"	9	"Partner: Referral Partners"
19	2	"d"	"referral_partners"	3	"Partner: Referral Partners"
19	2	"seed"	"marketing"	22	"Marketing"
19	2	"seed"	"referral_partners"	14	"Partner: Referral Partners"
20	2	"a"	"marketing"	2	"Marketing"
20	2	"a"	"referral_partners"	12	"Partner: Referral Partners"
20	2	"b"	"marketing"	1	"Marketing"
20	2	"b"	"referral_partners"	22	"Partner: Referral Partners"
20	2	"c"	"referral_partners"	11	"Partner: Referral Partners"
20	2	"d"	"referral_partners"	5	"Partner: Referral Partners"
20	2	"seed"	"marketing"	25	"Marketing"
20	2	"seed"	"referral_partners"	5	"Partner: Referral Partners"
21	2	"a"	"marketing"	1	"Marketing"
21	2	"a"	"referral_partners"	13	"Partner: Referral Partners"
21	2	"b"	"referral_partners"	17	"Partner: Referral Partners"
21	2	"c"	"referral_partners"	13	"Partner: Referral Partners"
21	2	"d"	"referral_partners"	3	"Partner: Referral Partners"
21	2	"seed"	"marketing"	22	"Marketing"
21	2	"seed"	"referral_partners"	5	"Partner: Referral Partners"
22	2	"a"	"marketing"	1	"Marketing"
22	2	"a"	"referral_partners"	19	"Partner: Referral Partners"
22	2	"b"	"marketing"	1	"Marketing"
22	2	"b"	"referral_partners"	16	"Partner: Referral Partners"
22	2	"c"	"marketing"	1	"Marketing"
22	2	"c"	"referral_partners"	5	"Partner: Referral Partners"
22	2	"d"	"referral_partners"	7	"Partner: Referral Partners"
22	2	"seed"	"marketing"	18	"Marketing"
22	2	"seed"	"referral_partners"	16	"Partner: Referral Partners"
23	2	"a"	"marketing"	3	"Marketing"
23	2	"a"	"referral_partners"	11	"Partner: Referral Partners"
23	2	"b"	"marketing"	1	"Marketing"
23	2	"b"	"referral_partners"	11	"Partner: Referral Partners"
23	2	"c"	"referral_partners"	5	"Partner: Referral Partners"
23	2	"d"	"referral_partners"	5	"Partner: Referral Partners"
23	2	"seed"	"marketing"	19	"Marketing"
23	2	"seed"	"referral_partners"	8	"Partner: Referral Partners"
24	2	"a"	"marketing"	2	"Marketing"
24	2	"a"	"referral_partners"	21	"Partner: Referral Partners"
24	2	"b"	"referral_partners"	20	"Partner: Referral Partners"
24	2	"c"	"referral_partners"	10	"Partner: Referral Partners"
24	2	"d"	"referral_partners"	6	"Partner: Referral Partners"
24	2	"seed"	"marketing"	16	"Marketing"
24	2	"seed"	"referral_partners"	11	"Partner: Referral Partners"
25	2	"a"	"marketing"	2	"Marketing"
25	2	"a"	"referral_partners"	17	"Partner: Referral Partners"
25	2	"b"	"referral_partners"	17	"Partner: Referral Partners"
25	2	"c"	"referral_partners"	10	"Partner: Referral Partners"
25	2	"d"	"referral_partners"	6	"Partner: Referral Partners"
25	2	"seed"	"marketing"	14	"Marketing"
25	2	"seed"	"referral_partners"	8	"Partner: Referral Partners"
26	3	"a"	"marketing"	2	"Marketing"
26	3	"a"	"referral_partners"	25	"Partner: Referral Partners"
26	3	"b"	"marketing"	1	"Marketing"
26	3	"b"	"referral_partners"	19	"Partner: Referral Partners"
26	3	"c"	"referral_partners"	9	"Partner: Referral Partners"
26	3	"d"	"referral_partners"	8	"Partner: Referral Partners"
26	3	"seed"	"marketing"	25	"Marketing"
26	3	"seed"	"referral_partners"	10	"Partner: Referral Partners"
27	3	"a"	"marketing"	3	"Marketing"
27	3	"a"	"referral_partners"	49	"Partner: Referral Partners"
27	3	"b"	"referral_partners"	58	"Partner: Referral Partners"
27	3	"c"	"referral_partners"	22	"Partner: Referral Partners"
27	3	"d"	"referral_partners"	11	"Partner: Referral Partners"
27	3	"seed"	"marketing"	22	"Marketing"
27	3	"seed"	"referral_partners"	18	"Partner: Referral Partners"
28	3	"a"	"marketing"	1	"Marketing"
28	3	"a"	"referral_partners"	48	"Partner: Referral Partners"
28	3	"b"	"referral_partners"	46	"Partner: Referral Partners"
28	3	"c"	"referral_partners"	24	"Partner: Referral Partners"
28	3	"d"	"referral_partners"	11	"Partner: Referral Partners"
28	3	"seed"	"marketing"	18	"Marketing"
28	3	"seed"	"referral_partners"	25	"Partner: Referral Partners"
29	3	"a"	"referral_partners"	43	"Partner: Referral Partners"
29	3	"b"	"referral_partners"	40	"Partner: Referral Partners"
29	3	"c"	"referral_partners"	22	"Partner: Referral Partners"
29	3	"d"	"referral_partners"	16	"Partner: Referral Partners"
29	3	"seed"	"marketing"	22	"Marketing"
29	3	"seed"	"referral_partners"	20	"Partner: Referral Partners"
30	3	"a"	"referral_partners"	48	"Partner: Referral Partners"
30	3	"b"	"referral_partners"	56	"Partner: Referral Partners"
30	3	"c"	"referral_partners"	22	"Partner: Referral Partners"
30	3	"d"	"referral_partners"	9	"Partner: Referral Partners"
30	3	"seed"	"marketing"	30	"Marketing"
30	3	"seed"	"referral_partners"	24	"Partner: Referral Partners"
31	3	"a"	"marketing"	3	"Marketing"
31	3	"a"	"referral_partners"	39	"Partner: Referral Partners"
31	3	"b"	"marketing"	1	"Marketing"
31	3	"b"	"referral_partners"	47	"Partner: Referral Partners"
31	3	"c"	"referral_partners"	24	"Partner: Referral Partners"
31	3	"d"	"referral_partners"	15	"Partner: Referral Partners"
31	3	"seed"	"marketing"	23	"Marketing"
31	3	"seed"	"referral_partners"	19	"Partner: Referral Partners"
32	3	"a"	"referral_partners"	44	"Partner: Referral Partners"
32	3	"b"	"referral_partners"	39	"Partner: Referral Partners"
32	3	"c"	"referral_partners"	29	"Partner: Referral Partners"
32	3	"d"	"referral_partners"	19	"Partner: Referral Partners"
32	3	"seed"	"marketing"	20	"Marketing"
32	3	"seed"	"referral_partners"	29	"Partner: Referral Partners"
33	3	"a"	"marketing"	3	"Marketing"
33	3	"a"	"referral_partners"	42	"Partner: Referral Partners"
33	3	"b"	"referral_partners"	46	"Partner: Referral Partners"
33	3	"c"	"referral_partners"	21	"Partner: Referral Partners"
33	3	"d"	"referral_partners"	12	"Partner: Referral Partners"
33	3	"seed"	"marketing"	20	"Marketing"
33	3	"seed"	"referral_partners"	22	"Partner: Referral Partners"
34	3	"a"	"marketing"	3	"Marketing"
34	3	"a"	"referral_partners"	49	"Partner: Referral Partners"
34	3	"b"	"referral_partners"	36	"Partner: Referral Partners"
34	3	"c"	"referral_partners"	24	"Partner: Referral Partners"
34	3	"d"	"referral_partners"	11	"Partner: Referral Partners"
34	3	"seed"	"marketing"	17	"Marketing"
34	3	"seed"	"referral_partners"	32	"Partner: Referral Partners"
35	3	"a"	"referral_partners"	40	"Partner: Referral Partners"
35	3	"b"	"referral_partners"	49	"Partner: Referral Partners"
35	3	"c"	"referral_partners"	24	"Partner: Referral Partners"
35	3	"d"	"referral_partners"	14	"Partner: Referral Partners"
35	3	"seed"	"marketing"	17	"Marketing"
35	3	"seed"	"referral_partners"	19	"Partner: Referral Partners"
36	3	"a"	"referral_partners"	35	"Partner: Referral Partners"
36	3	"b"	"marketing"	1	"Marketing"
36	3	"b"	"referral_partners"	44	"Partner: Referral Partners"
36	3	"c"	"referral_partners"	17	"Partner: Referral Partners"
36	3	"d"	"referral_partners"	9	"Partner: Referral Partners"
36	3	"seed"	"marketing"	24	"Marketing"
36	3	"seed"	"referral_partners"	20	"Partner: Referral Partners"
37	3	"a"	"marketing"	2	"Marketing"
37	3	"a"	"referral_partners"	43	"Partner: Referral Partners"
37	3	"b"	"referral_partners"	40	"Partner: Referral Partners"
37	3	"c"	"referral_partners"	24	"Partner: Referral Partners"
37	3	"d"	"referral_partners"	13	"Partner: Referral Partners"
37	3	"seed"	"marketing"	24	"Marketing"
37	3	"seed"	"referral_partners"	15	"Partner: Referral Partners"
38	3	"a"	"referral_partners"	30	"Partner: Referral Partners"
38	3	"b"	"referral_partners"	45	"Partner: Referral Partners"
38	3	"c"	"referral_partners"	27	"Partner: Referral Partners"
38	3	"d"	"referral_partners"	13	"Partner: Referral Partners"
